feature,p25,p50,p75
charge,0.8524346947669983,1.0880130529403687,1.4069588184356689
dom_time,626.5518899101851957,2827.9909047097462462,6222.0123121084816376
dom_x,-400.0000000000000000,-120.0000000000000000,120.0000000000000000
dom_y,-245.7437415779595256,-37.8976446696942730,100.6664199358158953
dom_z,-200.0000000000000000,50.0000000000000000,300.0000000000000000
string_number,95.0000000000000000,154.0000000000000000,204.0000000000000000
pmt_number,5.0000000000000000,9.0000000000000000,13.0000000000000000
dom_number,6.0000000000000000,11.0000000000000000,16.0000000000000000
pmt_x,-399.8169064160398420,-119.8986391571229291,120.1013608428770709
pmt_y,-245.8785454385194669,-38.0324485302542286,100.8012237963758508
pmt_z,-200.1144095691479379,49.8855904308520479,299.8652160665754991
