feature,p25,p50,p75
charge,0.8670604228973389,1.1156970262527466,1.5177017450332642
dom_time,170.0210311582428915,301.3113940867963265,579.0695583504547130
dom_x,-440.0000000000000000,-120.0000000000000000,160.0000000000000000
dom_y,-245.7437415779595256,-37.8976446696942730,169.9484522385709795
dom_z,-200.0000000000000000,50.0000000000000000,300.0000000000000000
string_number,96.0000000000000000,165.0000000000000000,218.0000000000000000
pmt_number,4.0000000000000000,8.0000000000000000,12.0000000000000000
dom_number,6.0000000000000000,11.0000000000000000,16.0000000000000000
pmt_x,-439.8986391571229433,-119.8169064160398278,160.1830935839601864
pmt_y,-245.8785454385194669,-37.7628408091343175,169.9484522385709795
pmt_z,-200.0000000000000000,50.0000000000000000,299.8855904308520621
