feature,p25,p50,p75
charge,0.8018317818641663,1.0022331476211548,1.2039356231689453
dom_time,2058.0946197726116225,2171.9254015992078166,2333.0061130891590437
dom_x,-440.0000000000000000,-80.0000000000000000,160.0000000000000000
dom_y,-245.7437415779595256,-37.8976446696942730,169.9484522385709795
dom_z,-200.0000000000000000,50.0000000000000000,300.0000000000000000
string_number,96.0000000000000000,165.0000000000000000,217.0000000000000000
pmt_number,4.0000000000000000,8.0000000000000000,12.0000000000000000
dom_number,6.0000000000000000,11.0000000000000000,16.0000000000000000
pmt_x,-439.8616391071141720,-80.1383608928858422,160.1383608928858564
pmt_y,-245.9258297911105160,-37.7155564565432684,169.8572089558611538
pmt_z,-200.1160029854420657,49.8839970145579201,299.8839970145579059
