epoch,elapsed_min,epoch_duration_min,rss_gb,sys_mem_used_gb,cpu_load_pct,gpu_util_pct,gpu_mem_used_gb,gpu_mem_total_gb,gpu_mem_util_pct
0,24.876,24.876,2.146,87.224,77.65,0.0,27.104,79.647,34.0
1,45.531,20.655,2.146,87.551,91.07,0.0,27.104,79.647,34.0
2,65.998,20.467,2.147,86.206,89.27,64.0,27.104,79.647,34.0
3,86.222,20.224,2.146,87.940,77.06,89.0,27.104,79.647,34.0
4,106.504,20.282,2.147,87.145,89.28,0.0,33.503,79.647,42.1
5,126.722,20.218,2.146,87.157,88.88,87.0,33.503,79.647,42.1
6,146.967,20.245,2.146,86.013,91.42,85.0,33.503,79.647,42.1
7,167.263,20.297,2.146,87.758,89.48,0.0,33.503,79.647,42.1
8,187.751,20.488,2.145,87.435,90.84,89.0,42.808,79.647,53.7
9,207.897,20.146,2.146,87.943,91.80,82.0,42.808,79.647,53.7
10,228.076,20.179,2.146,80.433,62.86,0.0,42.808,79.647,53.7
11,248.037,19.961,2.146,79.600,88.53,23.0,42.808,79.647,53.7
12,268.140,20.103,2.146,79.973,84.20,5.0,42.808,79.647,53.7
13,288.139,19.999,2.147,80.559,74.31,0.0,42.808,79.647,53.7
14,308.063,19.924,2.146,79.858,70.21,79.0,42.808,79.647,53.7
15,328.165,20.102,2.145,79.080,73.15,5.0,42.808,79.647,53.7
16,348.239,20.073,2.146,79.026,78.21,32.0,42.808,79.647,53.7
17,368.453,20.214,2.146,79.058,89.09,0.0,42.808,79.647,53.7
18,388.560,20.107,2.147,79.971,90.70,0.0,42.808,79.647,53.7
19,408.480,19.920,2.147,77.832,81.70,69.0,42.808,79.647,53.7
20,428.547,20.066,2.155,78.889,89.26,0.0,42.808,79.647,53.7
21,448.527,19.981,2.155,79.091,85.16,57.0,42.808,79.647,53.7
22,468.556,20.029,2.156,79.693,86.60,0.0,42.808,79.647,53.7
23,488.868,20.312,2.172,76.894,69.49,0.0,42.808,79.647,53.7
24,508.847,19.980,2.171,79.454,87.46,0.0,42.808,79.647,53.7
