epoch,train_loss,val_loss,lr,best_model_is_updated,val_residual_log10_p16,val_residual_log10_p50,val_residual_log10_p84,val_W_log10,val_bias_log10,val_mae_log10,val_rmse_log10
0,,0.13649273761364084,0.0009832202922552824,True,-0.6195849180221558,-0.0670919418334961,0.2900772988796234,0.4548311233520508,-0.17701546847820282,0.40083006024360657,0.5937947034835815
1,0.3720704044941229,0.11601000202588573,0.0009496610146015882,True,-0.40442126989364624,0.06938767433166504,0.41953498125076294,0.4119781255722046,-0.011592093855142593,0.3736931383609772,0.5346629023551941
2,0.12433708326208699,0.11392424410925138,0.0009161016787402332,True,-0.3531319499015808,0.07001328468322754,0.44605427980422974,0.3995931148529053,0.0223141610622406,0.36793017387390137,0.5277972221374512
3,0.11098108476100893,0.10181271536422094,0.000882542401086539,True,-0.4348909258842468,0.01881861686706543,0.31414130330085754,0.3745161294937134,-0.07699596136808395,0.3372318148612976,0.5032358169555664
4,0.10574205947057938,0.10232178655239672,0.000848983065225184,False,-0.4726969599723816,-0.019501686096191406,0.27012625336647034,0.37141162157058716,-0.11377795785665512,0.33315372467041016,0.5049746036529541
5,0.10043795101089428,0.09536835256930357,0.0008154237293638289,True,-0.35260021686553955,0.052549123764038086,0.3724641501903534,0.36253219842910767,-0.012166286818683147,0.32884177565574646,0.4803634285926819
6,0.0973906432022467,0.09351281644182513,0.0007818643935024738,True,-0.32312455773353577,0.06399774551391602,0.38413122296333313,0.35362789034843445,0.008312148973345757,0.32603028416633606,0.4736904501914978
7,0.09437129619475107,0.09220836319321975,0.0007483050576411188,True,-0.3539576530456543,0.025552034378051758,0.35247471928596497,0.35321617126464844,-0.02761625126004219,0.32133617997169495,0.4716133177280426
8,0.09458550348612808,0.09252391563266209,0.0007147457799874246,False,-0.38680630922317505,0.040529727935791016,0.323748379945755,0.3552773594856262,-0.04322393238544464,0.32069647312164307,0.474263459444046
9,0.09168562972969238,0.09213998651535596,0.0006811864441260695,True,-0.27685943245887756,0.08951807022094727,0.4141031503677368,0.345481276512146,0.04087620973587036,0.32628878951072693,0.4682236611843109
10,0.08995813747683092,0.08967955635249476,0.0006476271082647145,True,-0.3738097548484802,0.03246927261352539,0.31356480717658997,0.3436872959136963,-0.04355974867939949,0.31182947754859924,0.46688228845596313
11,0.08914689875724945,0.09110424852575846,0.0006140677724033594,False,-0.3780690133571625,0.03253793716430664,0.3218015730381012,0.34993529319763184,-0.04308116436004639,0.3153471350669861,0.47005775570869446
12,0.08765962656116356,0.08902777883287831,0.0005805084947496653,True,-0.3266022205352783,0.05612802505493164,0.3532741367816925,0.3399381637573242,-0.005424169823527336,0.313407838344574,0.4625730812549591
13,0.08704194630151002,0.09265381624099114,0.0005469491588883102,False,-0.2597538232803345,0.12647676467895508,0.42541489005088806,0.34258437156677246,0.06290543079376221,0.33270564675331116,0.46843454241752625
14,0.0854025170381005,0.08932447921682464,0.0005133898230269551,False,-0.3233940005302429,0.0486447811126709,0.36600369215011597,0.34469884634017944,-0.003995989449322224,0.31522536277770996,0.4627942442893982
15,0.08519130650354208,0.0892450525717647,0.0004798305162694305,False,-0.40474557876586914,-0.017067432403564453,0.2730742394924164,0.33890992403030396,-0.08264434337615967,0.30819571018218994,0.4659256637096405
16,0.08309558890648928,0.0883023065111619,0.00044627118040807545,True,-0.35798880457878113,0.008073091506958008,0.3179745674133301,0.3379817008972168,-0.04153575003147125,0.30878394842147827,0.46156027913093567
17,0.08155251667091518,0.0895160703699491,0.00041271187365055084,False,-0.32542160153388977,0.019945383071899414,0.3733018636703491,0.34936171770095825,-0.0054359096102416515,0.31698521971702576,0.46137768030166626
18,0.08057246798885427,0.08841537187033845,0.0003791525377891958,False,-0.4058947265148163,-0.016069412231445312,0.2681009769439697,0.3369978666305542,-0.08378686755895615,0.30477115511894226,0.4639054834842682
19,0.07977360368288385,0.08702271638243779,0.00034559323103167117,True,-0.3561001420021057,0.027834653854370117,0.31330356001853943,0.3347018361091614,-0.037579186260700226,0.304340124130249,0.4592619836330414
20,0.07801814932070973,0.08726389697945865,0.0003120338951703161,False,-0.3046734631061554,0.06149578094482422,0.3628203868865967,0.33374691009521484,0.010431447066366673,0.3101061284542084,0.45713165402412415
21,0.07642896770908929,0.08718624553438935,0.0002784745884127915,False,-0.3254776895046234,0.05164074897766113,0.3520229160785675,0.33875030279159546,-0.005690962541848421,0.30978405475616455,0.4574100971221924
22,0.07513311196943835,0.08826290559504696,0.0002449152525514364,False,-0.358523428440094,0.013324260711669922,0.3042486906051636,0.3313860595226288,-0.04055754095315933,0.30522871017456055,0.4627363085746765
23,0.07303011034072598,0.08768755219258464,0.00021135593124199659,False,-0.3079923689365387,0.04571938514709473,0.3549044728279114,0.33144843578338623,0.0024479494895786047,0.3082987070083618,0.4590146541595459
24,0.0708170426837059,0.08833032077993269,0.00017779660993255675,False,-0.29494112730026245,0.06946945190429688,0.3695208728313446,0.33223098516464233,0.020913444459438324,0.31225746870040894,0.4599965512752533
